run,algo,round,alpha,num_clients,seed,lam,accuracy,f1,auc,time
ditto_alpha1.0_c5_lam0.5_seed42,ditto,1,1.0,5,42,0.5,0.4371614466793116,0.12724907365413096,0.775040461250745,4.2471349239349365
ditto_alpha1.0_c5_lam0.5_seed42,ditto,2,1.0,5,42,0.5,0.6420821039662734,0.5337321614496211,0.9416346823262403,5.525606155395508
ditto_alpha1.0_c5_lam0.5_seed42,ditto,3,1.0,5,42,0.5,0.8070818873467293,0.7186131890143885,0.9851223730413416,4.400970935821533
ditto_alpha1.0_c5_lam0.5_seed42,ditto,4,1.0,5,42,0.5,0.933733080273177,0.9282405554281891,0.9953034382660068,4.835409879684448
ditto_alpha1.0_c5_lam0.5_seed42,ditto,5,1.0,5,42,0.5,0.9495602523678205,0.9350676960059803,0.9966730810268084,4.702080011367798
ditto_alpha1.0_c5_lam0.5_seed42,ditto,6,1.0,5,42,0.5,0.9512691203873912,0.9386767300683013,0.9975902388225328,5.6618101596832275
ditto_alpha1.0_c5_lam0.5_seed42,ditto,7,1.0,5,42,0.5,0.9471679698161374,0.9310976179934514,0.9978662188020125,4.681158781051636
ditto_alpha1.0_c5_lam0.5_seed42,ditto,8,1.0,5,42,0.5,0.9303533295248009,0.9064874564009713,0.99743742157356,4.686891078948975
ditto_alpha1.0_c5_lam0.5_seed42,ditto,9,1.0,5,42,0.5,0.9391480308261929,0.9175737848896885,0.9966037222097915,5.728939056396484
ditto_alpha1.0_c5_lam0.5_seed42,ditto,10,1.0,5,42,0.5,0.9692918980504903,0.9640517790561122,0.9985223872858142,4.94412899017334
ditto_alpha1.0_c5_lam0.5_seed42,ditto,11,1.0,5,42,0.5,0.9440593276766289,0.9229643705429277,0.9983757535737873,5.470731019973755
ditto_alpha1.0_c5_lam0.5_seed42,ditto,12,1.0,5,42,0.5,0.93846673347436,0.9219412108825541,0.9972297669758279,4.6498191356658936
ditto_alpha1.0_c5_lam0.5_seed42,ditto,13,1.0,5,42,0.5,0.9519612882890924,0.9278572943529569,0.9977813105239972,5.198209047317505
ditto_alpha1.0_c5_lam0.5_seed42,ditto,14,1.0,5,42,0.5,0.9731565012813,0.9590008909815101,0.9987782866845951,5.159106016159058
ditto_alpha1.0_c5_lam0.5_seed42,ditto,15,1.0,5,42,0.5,0.9516828715282492,0.9305366753149444,0.9982341057153128,4.823560953140259
ditto_alpha1.0_c5_lam0.5_seed42,ditto,16,1.0,5,42,0.5,0.9447756872644542,0.9285545391929384,0.9976217173491847,5.316690921783447
ditto_alpha1.0_c5_lam0.5_seed42,ditto,17,1.0,5,42,0.5,0.9617051833842174,0.9506622759381631,0.9985509716829114,4.95404314994812
ditto_alpha1.0_c5_lam0.5_seed42,ditto,18,1.0,5,42,0.5,0.9685495798271863,0.9540643032612197,0.9988551353761308,5.815215110778809
ditto_alpha1.0_c5_lam0.5_seed42,ditto,19,1.0,5,42,0.5,0.959215401006641,0.9442939856104136,0.9986187512467126,4.311709880828857
ditto_alpha1.0_c5_lam0.5_seed42,ditto,20,1.0,5,42,0.5,0.9595999202263228,0.9498931763886201,0.9980114471598135,5.472804307937622
