run,algo,round,alpha,num_clients,seed,accuracy,f1,auc,time
fedavg_alpha10.0_c5_seed42,fedavg,1,10.0,5,42,0.4600267356185753,0.31873463584443823,0.8303080507260573,2.6085920333862305
fedavg_alpha10.0_c5_seed42,fedavg,2,10.0,5,42,0.785373576377642,0.7794426295270839,0.9719231787809532,5.175431251525879
fedavg_alpha10.0_c5_seed42,fedavg,3,10.0,5,42,0.8970613120967412,0.8960666646432569,0.9889834739927329,3.1325130462646484
fedavg_alpha10.0_c5_seed42,fedavg,4,10.0,5,42,0.9186028638125343,0.9215627937823822,0.9901922915638807,2.964649200439453
fedavg_alpha10.0_c5_seed42,fedavg,5,10.0,5,42,0.9240245762175485,0.9216382313896319,0.9949526086148339,2.944228172302246
fedavg_alpha10.0_c5_seed42,fedavg,6,10.0,5,42,0.9260599084860738,0.9275620922131524,0.9943634692846409,3.6426119804382324
fedavg_alpha10.0_c5_seed42,fedavg,7,10.0,5,42,0.9321217641561768,0.9314633974162204,0.995901286906693,3.1638550758361816
fedavg_alpha10.0_c5_seed42,fedavg,8,10.0,5,42,0.9433277747372418,0.9450685932459584,0.9955765778526621,3.0770668983459473
fedavg_alpha10.0_c5_seed42,fedavg,9,10.0,5,42,0.9356318556328719,0.9358528606716584,0.9930939349317003,3.0823349952697754
fedavg_alpha10.0_c5_seed42,fedavg,10,10.0,5,42,0.9380677530687695,0.9399143978192106,0.9961205143503664,3.138129949569702
fedavg_alpha10.0_c5_seed42,fedavg,11,10.0,5,42,0.9415778445454648,0.942362096385166,0.9955866977639436,2.8826968669891357
fedavg_alpha10.0_c5_seed42,fedavg,12,10.0,5,42,0.9308300216312414,0.9287463427938384,0.9959052413141867,3.129477024078369
fedavg_alpha10.0_c5_seed42,fedavg,13,10.0,5,42,0.9245914078177764,0.9231153281934074,0.9968644689812418,3.554945945739746
fedavg_alpha10.0_c5_seed42,fedavg,14,10.0,5,42,0.9358174226431814,0.9366463058271559,0.996321505151324,3.150902032852173
fedavg_alpha10.0_c5_seed42,fedavg,15,10.0,5,42,0.9471739285833957,0.9481022406024374,0.9942510822283485,2.9300007820129395
fedavg_alpha10.0_c5_seed42,fedavg,16,10.0,5,42,0.9404222336397448,0.9420644253956318,0.995725994018661,3.021911859512329
fedavg_alpha10.0_c5_seed42,fedavg,17,10.0,5,42,0.9586424292516931,0.9576989344513324,0.9967206601376543,3.1107969284057617
fedavg_alpha10.0_c5_seed42,fedavg,18,10.0,5,42,0.9451622119712727,0.945008570550808,0.9939326786615833,3.0465970039367676
fedavg_alpha10.0_c5_seed42,fedavg,19,10.0,5,42,0.9524264668103786,0.9531432386593901,0.994817866196254,3.033271074295044
fedavg_alpha10.0_c5_seed42,fedavg,20,10.0,5,42,0.9347380311474981,0.9353710012318219,0.995209508613141,3.048229932785034
fedavg_alpha10.0_c5_seed42,fedavg,21,10.0,5,42,0.9472623076550765,0.9460373204874921,0.9939047432445595,3.596035957336426
fedavg_alpha10.0_c5_seed42,fedavg,22,10.0,5,42,0.9414010864021026,0.9424246160494217,0.9941481693705605,3.7629151344299316
fedavg_alpha10.0_c5_seed42,fedavg,23,10.0,5,42,0.9506192566448121,0.948717432633243,0.99580466449383,3.1701979637145996
fedavg_alpha10.0_c5_seed42,fedavg,24,10.0,5,42,0.9502683874858985,0.9480380588483881,0.9933965121646512,3.0260939598083496
fedavg_alpha10.0_c5_seed42,fedavg,25,10.0,5,42,0.9442065318157958,0.9423445287289262,0.9961306780955018,3.3184571266174316
fedavg_alpha10.0_c5_seed42,fedavg,26,10.0,5,42,0.9274966882979081,0.9243380712263436,0.9950234792526308,3.089689254760742
fedavg_alpha10.0_c5_seed42,fedavg,27,10.0,5,42,0.9263250457011166,0.9263609239158553,0.9949555324383663,3.3239259719848633
fedavg_alpha10.0_c5_seed42,fedavg,28,10.0,5,42,0.9095153671167902,0.9069179906690034,0.9929092357403823,3.1067609786987305
fedavg_alpha10.0_c5_seed42,fedavg,29,10.0,5,42,0.9102288220467397,0.9049599300662707,0.9916394073096692,3.6618728637695312
fedavg_alpha10.0_c5_seed42,fedavg,30,10.0,5,42,0.9412508516603186,0.9370715957905492,0.9956224475567822,3.601534128189087
fedavg_alpha10.0_c5_seed42,fedavg,31,10.0,5,42,0.921723846116615,0.9182863245078806,0.9925207536439757,7.056727886199951
fedavg_alpha10.0_c5_seed42,fedavg,32,10.0,5,42,0.9531471445644526,0.9532844255847353,0.995210965355767,3.2051901817321777
fedavg_alpha10.0_c5_seed42,fedavg,33,10.0,5,42,0.9364098133607353,0.9348871185596856,0.9941596634601947,3.301699161529541
fedavg_alpha10.0_c5_seed42,fedavg,34,10.0,5,42,0.9461914644089756,0.9451254628638297,0.9944862166105344,3.647441864013672
fedavg_alpha10.0_c5_seed42,fedavg,35,10.0,5,42,0.9418288786379392,0.9424105021654119,0.9969307831650571,4.116375923156738
fedavg_alpha10.0_c5_seed42,fedavg,36,10.0,5,42,0.9211190351200516,0.9147296128827975,0.9942778241682297,4.631549835205078
fedavg_alpha10.0_c5_seed42,fedavg,37,10.0,5,42,0.9404336896345026,0.9395947918315857,0.9943806377672196,3.7013959884643555
fedavg_alpha10.0_c5_seed42,fedavg,38,10.0,5,42,0.9474593306601438,0.9512311505084192,0.9969597829000693,3.5052831172943115
fedavg_alpha10.0_c5_seed42,fedavg,39,10.0,5,42,0.9563027554701723,0.9562625055771875,0.9966225726274593,4.086330890655518
fedavg_alpha10.0_c5_seed42,fedavg,40,10.0,5,42,0.9522912994754144,0.9545884270627878,0.9963266660700775,3.5199480056762695
fedavg_alpha10.0_c5_seed42,fedavg,41,10.0,5,42,0.9325108733287909,0.9327863052790217,0.9943656087256219,3.3215270042419434
fedavg_alpha10.0_c5_seed42,fedavg,42,10.0,5,42,0.9172227422159179,0.9169003556904638,0.9942062951902763,3.6006240844726562
fedavg_alpha10.0_c5_seed42,fedavg,43,10.0,5,42,0.9501259973268106,0.9513656922958542,0.9939381426600443,3.5855789184570312
fedavg_alpha10.0_c5_seed42,fedavg,44,10.0,5,42,0.9369766449609631,0.9359141817511698,0.9954065047637372,3.5461249351501465
fedavg_alpha10.0_c5_seed42,fedavg,45,10.0,5,42,0.9131606259284493,0.9089835394972233,0.993010620814672,3.1575820446014404
fedavg_alpha10.0_c5_seed42,fedavg,46,10.0,5,42,0.9591815125487261,0.9566717209202494,0.9964136506986142,3.5314781665802
fedavg_alpha10.0_c5_seed42,fedavg,47,10.0,5,42,0.9517015558856707,0.9498496332340534,0.9962082563050181,3.326364278793335
fedavg_alpha10.0_c5_seed42,fedavg,48,10.0,5,42,0.9342215992226157,0.9327990531058858,0.994317078104958,4.049755334854126
fedavg_alpha10.0_c5_seed42,fedavg,49,10.0,5,42,0.8985446195544933,0.8928698907490642,0.9914295633475915,3.479759931564331
fedavg_alpha10.0_c5_seed42,fedavg,50,10.0,5,42,0.9354161538089226,0.9315390169121629,0.9944971863212793,3.58332896232605
