run,algo,round,alpha,num_clients,seed,mu,accuracy,f1,auc,time
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,1,1.0,5,42,0.01,0.4565904839150138,0.21389294003605844,0.7850282166168735,3.2528159618377686
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,2,1.0,5,42,0.01,0.6299577411193777,0.4995251684014342,0.9293625842379782,3.5942211151123047
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,3,1.0,5,42,0.01,0.8751031965293283,0.8690879983180704,0.9898127462843727,3.297341823577881
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,4,1.0,5,42,0.01,0.8996692685247716,0.8986772619873559,0.9961329524731797,3.519737958908081
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,5,1.0,5,42,0.01,0.9473629694679238,0.916027697996858,0.9975433239123616,3.176171064376831
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,6,1.0,5,42,0.01,0.9623500017816282,0.9533564736309345,0.9982232523498258,3.360543966293335
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,7,1.0,5,42,0.01,0.9552138674415606,0.938561764416273,0.9976729401112671,3.3319222927093506
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,8,1.0,5,42,0.01,0.9467368626727459,0.9322219732379262,0.9986488092358788,3.17407488822937
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,9,1.0,5,42,0.01,0.9552485794466279,0.9460583038673324,0.9985354455056333,3.287431240081787
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,10,1.0,5,42,0.01,0.9661399412729693,0.9559722631230281,0.9988595739009497,3.2119150161743164
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,11,1.0,5,42,0.01,0.9510199355477239,0.9314234375624626,0.9970916066898562,3.2903599739074707
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,12,1.0,5,42,0.01,0.9623673577841616,0.9516236569645177,0.9961354845075053,3.1954710483551025
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,13,1.0,5,42,0.01,0.9669916352408091,0.9392838246913724,0.9967865583956831,3.1802170276641846
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,14,1.0,5,42,0.01,0.9681358286863283,0.9659125147606271,0.9981755642766086,3.092146873474121
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,15,1.0,5,42,0.01,0.9587897739471403,0.9617293356209263,0.9981580957374728,3.32987380027771
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,16,1.0,5,42,0.01,0.9701609480208634,0.9626646803077644,0.9984134510480809,3.1575300693511963
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,17,1.0,5,42,0.01,0.9477034124690124,0.9323338664644305,0.9970976341678197,3.146833896636963
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,18,1.0,5,42,0.01,0.9629688615435603,0.962427485077377,0.9984692187396067,3.1726672649383545
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,19,1.0,5,42,0.01,0.9634801125103113,0.9439178656910059,0.9975782917221354,3.031170129776001
fedprox_alpha1.0_c5_mu0.01_seed42,fedprox,20,1.0,5,42,0.01,0.9537581411843867,0.9459622471532629,0.9972715330315693,3.2878308296203613
