run,algo,round,alpha,num_clients,seed,alpha_inner,accuracy,f1,auc,time
perfedavg_alpha1.0_c5_ai0.001_seed42,perfedavg,1,1.0,5,42,0.001,0.48876540620130376,0.2834320771820772,0.7876749937686041,4.328479051589966
perfedavg_alpha1.0_c5_ai0.001_seed42,perfedavg,2,1.0,5,42,0.001,0.7409535752856183,0.6764877080937106,0.9577316224828343,4.627177000045776
perfedavg_alpha1.0_c5_ai0.001_seed42,perfedavg,3,1.0,5,42,0.001,0.8985425818184295,0.8641146240739526,0.9845307959814085,4.356337308883667
perfedavg_alpha1.0_c5_ai0.001_seed42,perfedavg,4,1.0,5,42,0.001,0.915546741677661,0.8887256935968674,0.9905315156805801,6.578585863113403
perfedavg_alpha1.0_c5_ai0.001_seed42,perfedavg,5,1.0,5,42,0.001,0.9007484673512713,0.877463500021741,0.9915900451948575,4.479642868041992
perfedavg_alpha1.0_c5_ai0.001_seed42,perfedavg,6,1.0,5,42,0.001,0.9071743941500724,0.8775649079408477,0.9931120986563833,4.558618068695068
perfedavg_alpha1.0_c5_ai0.001_seed42,perfedavg,7,1.0,5,42,0.001,0.9404525119184314,0.9294691925734216,0.9939572796572398,4.3188700675964355
perfedavg_alpha1.0_c5_ai0.001_seed42,perfedavg,8,1.0,5,42,0.001,0.9530772551822095,0.9355696657283884,0.9959322220975899,4.380205869674683
perfedavg_alpha1.0_c5_ai0.001_seed42,perfedavg,9,1.0,5,42,0.001,0.9306731432376584,0.8972424281055643,0.9956333737504824,5.037913084030151
perfedavg_alpha1.0_c5_ai0.001_seed42,perfedavg,10,1.0,5,42,0.001,0.9330709058732326,0.8963470938632451,0.9937769504360962,5.068389892578125
perfedavg_alpha1.0_c5_ai0.001_seed42,perfedavg,11,1.0,5,42,0.001,0.9218196278629887,0.8989806874200712,0.9932048235030557,5.149538040161133
perfedavg_alpha1.0_c5_ai0.001_seed42,perfedavg,12,1.0,5,42,0.001,0.9366484897102542,0.9086847126743226,0.9949130926446328,4.650148868560791
perfedavg_alpha1.0_c5_ai0.001_seed42,perfedavg,13,1.0,5,42,0.001,0.9308699098387997,0.8963158732612682,0.993185150270342,4.448848724365234
perfedavg_alpha1.0_c5_ai0.001_seed42,perfedavg,14,1.0,5,42,0.001,0.9464324872764238,0.9231428546901664,0.9956261044831249,4.257361888885498
perfedavg_alpha1.0_c5_ai0.001_seed42,perfedavg,15,1.0,5,42,0.001,0.9145245614759012,0.8808860764037098,0.9934337641393258,4.119421005249023
perfedavg_alpha1.0_c5_ai0.001_seed42,perfedavg,16,1.0,5,42,0.001,0.9464639259957934,0.9180044716950757,0.9963134350379186,4.3022780418396
perfedavg_alpha1.0_c5_ai0.001_seed42,perfedavg,17,1.0,5,42,0.001,0.9463336318508313,0.9151475616295321,0.9960890268006004,5.644690752029419
perfedavg_alpha1.0_c5_ai0.001_seed42,perfedavg,18,1.0,5,42,0.001,0.9285678800797637,0.9003971751472684,0.994546649285134,4.572088003158569
perfedavg_alpha1.0_c5_ai0.001_seed42,perfedavg,19,1.0,5,42,0.001,0.9274778718221255,0.9030354108401284,0.9965432124371908,4.259426116943359
perfedavg_alpha1.0_c5_ai0.001_seed42,perfedavg,20,1.0,5,42,0.001,0.9636328028928594,0.9463865013702843,0.9974491755185776,5.317968130111694
