run,algo,round,alpha,num_clients,seed,accuracy,f1,auc,time
fedavg_alpha10.0_c5_seed42,fedavg,1,10.0,5,42,0.4795552452967873,0.345417569591815,0.8062418348586242,2.3277809619903564
fedavg_alpha10.0_c5_seed42,fedavg,2,10.0,5,42,0.7608175790136005,0.7551880364146281,0.9702681766599021,2.369504928588867
fedavg_alpha10.0_c5_seed42,fedavg,3,10.0,5,42,0.8757879877733223,0.8631382934796145,0.9889117918862755,3.5746049880981445
fedavg_alpha10.0_c5_seed42,fedavg,4,10.0,5,42,0.9323754453764618,0.9338912642682684,0.993100598645998,3.036952018737793
fedavg_alpha10.0_c5_seed42,fedavg,5,10.0,5,42,0.9382985222995387,0.9397300741451857,0.9943386498533968,2.949847936630249
fedavg_alpha10.0_c5_seed42,fedavg,6,10.0,5,42,0.9268149542244213,0.925247180539553,0.9940718625011797,3.2146730422973633
fedavg_alpha10.0_c5_seed42,fedavg,7,10.0,5,42,0.9332427464602577,0.9326672477403438,0.9933271930586904,2.9792470932006836
fedavg_alpha10.0_c5_seed42,fedavg,8,10.0,5,42,0.9186532634878795,0.920958225612539,0.9933531711869797,2.9664199352264404
fedavg_alpha10.0_c5_seed42,fedavg,9,10.0,5,42,0.9423567665575797,0.9450561964946391,0.9944643875477371,2.991919755935669
fedavg_alpha10.0_c5_seed42,fedavg,10,10.0,5,42,0.9350774443116536,0.9361137599521682,0.9958499029264315,3.2104809284210205
fedavg_alpha10.0_c5_seed42,fedavg,11,10.0,5,42,0.9370623769048336,0.9369301768628461,0.9953062829418305,2.9806361198425293
fedavg_alpha10.0_c5_seed42,fedavg,12,10.0,5,42,0.9354816208910879,0.9335953516098299,0.9949526836721689,3.42250394821167
fedavg_alpha10.0_c5_seed42,fedavg,13,10.0,5,42,0.9470348892190043,0.9465138581810446,0.9940108993209819,3.0756139755249023
fedavg_alpha10.0_c5_seed42,fedavg,14,10.0,5,42,0.9425574009747089,0.9402004815496934,0.9957519583111052,2.976233959197998
fedavg_alpha10.0_c5_seed42,fedavg,15,10.0,5,42,0.935870469446337,0.9325971565210784,0.9958772223494495,3.125674247741699
fedavg_alpha10.0_c5_seed42,fedavg,16,10.0,5,42,0.9379058017148623,0.9363630138337486,0.9949592969565199,2.848504066467285
fedavg_alpha10.0_c5_seed42,fedavg,17,10.0,5,42,0.9440560364566462,0.943438314195048,0.993542673227347,3.260636806488037
fedavg_alpha10.0_c5_seed42,fedavg,18,10.0,5,42,0.9481914644089755,0.9486054369760195,0.9973786017394983,3.1857500076293945
