run,algo,round,alpha,num_clients,seed,mu,accuracy,f1,auc,time,dropout
fedprox_alpha0.3_c10_mu0.001_seed42,fedprox,1,0.3,10,42,0.001,0.31869379592533464,0.12414359731544693,0.04955196343627129,2.431727409362793,0.0
fedprox_alpha0.3_c10_mu0.001_seed42,fedprox,2,0.3,10,42,0.001,0.35975025708060426,0.1604833698488803,0.08205450846005569,2.2333436012268066,0.0
fedprox_alpha0.3_c10_mu0.001_seed42,fedprox,3,0.3,10,42,0.001,0.482878283995578,0.35360559365831296,0.09213536089098309,2.1743011474609375,0.0
fedprox_alpha0.3_c10_mu0.001_seed42,fedprox,4,0.3,10,42,0.001,0.6154983953475476,0.4979003803830472,0.09581923324052258,2.3615787029266357,0.0
fedprox_alpha0.3_c10_mu0.001_seed42,fedprox,5,0.3,10,42,0.001,0.711345273522311,0.5548486338632163,0.09868922681516384,2.118354558944702,0.0
fedprox_alpha0.3_c10_mu0.001_seed42,fedprox,6,0.3,10,42,0.001,0.7588349625376051,0.6584933752149457,0.09962732919254659,2.241349697113037,0.0
fedprox_alpha0.3_c10_mu0.001_seed42,fedprox,7,0.3,10,42,0.001,0.775210158963433,0.637894255016551,0.09962732919254659,2.1553385257720947,0.0
fedprox_alpha0.3_c10_mu0.001_seed42,fedprox,8,0.3,10,42,0.001,0.7933006989144381,0.5876080101167275,0.0988134504176483,2.1604349613189697,0.0
fedprox_alpha0.3_c10_mu0.001_seed42,fedprox,9,0.3,10,42,0.001,0.8128286439895789,0.6526442356340275,0.09950310559006212,1.9673151969909668,0.0
fedprox_alpha0.3_c10_mu0.001_seed42,fedprox,10,0.3,10,42,0.001,0.8331890879496184,0.6529025960150696,0.09925465838509318,2.3613762855529785,0.0
fedprox_alpha0.3_c10_mu0.001_seed42,fedprox,11,0.3,10,42,0.001,0.7952568631860725,0.627831494163575,0.09888198757763975,2.396329641342163,0.0
fedprox_alpha0.3_c10_mu0.001_seed42,fedprox,12,0.3,10,42,0.001,0.8474631537718157,0.6765471096578374,0.09852484472049688,2.236704111099243,0.0
fedprox_alpha0.3_c10_mu0.001_seed42,fedprox,13,0.3,10,42,0.001,0.7764868796587584,0.5957962896294982,0.09987577639751552,2.012554168701172,0.0
fedprox_alpha0.3_c10_mu0.001_seed42,fedprox,14,0.3,10,42,0.001,0.8278771934119892,0.6408571050782864,0.09893767402013279,2.254861354827881,0.0
fedprox_alpha0.3_c10_mu0.001_seed42,fedprox,15,0.3,10,42,0.001,0.8786493456811897,0.6835948324149639,0.09824801884771901,2.38688588142395,0.0
fedprox_alpha0.3_c10_mu0.001_seed42,fedprox,16,0.3,10,42,0.001,0.8499999498838251,0.6281553595110093,0.09950310559006212,1.9342119693756104,0.0
fedprox_alpha0.3_c10_mu0.001_seed42,fedprox,17,0.3,10,42,0.001,0.8269613282040489,0.6542604666311247,0.09699293210537588,2.085815191268921,0.0
fedprox_alpha0.3_c10_mu0.001_seed42,fedprox,18,0.3,10,42,0.001,0.8620143375857762,0.6660721985846252,0.09893767402013279,2.307422399520874,0.0
fedprox_alpha0.3_c10_mu0.001_seed42,fedprox,19,0.3,10,42,0.001,0.8018507673376835,0.6397323539859943,0.09743414007282072,2.368698835372925,0.0
fedprox_alpha0.3_c10_mu0.001_seed42,fedprox,20,0.3,10,42,0.001,0.7895274677981549,0.6312159506974027,0.09819233240522596,1.9982213973999023,0.0
fedprox_alpha0.3_c10_mu0.001_seed42,fedprox,21,0.3,10,42,0.001,0.8740751532412862,0.7153108219345525,0.09918612122510174,2.0608294010162354,0.0
fedprox_alpha0.3_c10_mu0.001_seed42,fedprox,22,0.3,10,42,0.001,0.7353084722210557,0.632932236180527,0.0984407796101949,2.059602975845337,0.0
fedprox_alpha0.3_c10_mu0.001_seed42,fedprox,23,0.3,10,42,0.001,0.8278941028788118,0.6739039218569074,0.0988134504176483,1.9836161136627197,0.0
fedprox_alpha0.3_c10_mu0.001_seed42,fedprox,24,0.3,10,42,0.001,0.7535316638528439,0.6130888876338323,0.09950310559006212,2.4112422466278076,0.0
fedprox_alpha0.3_c10_mu0.001_seed42,fedprox,25,0.3,10,42,0.001,0.8150527695237372,0.6685724046401663,0.09962732919254659,2.2110586166381836,0.0
fedprox_alpha0.3_c10_mu0.001_seed42,fedprox,26,0.3,10,42,0.001,0.8144647018249309,0.6926220030101227,0.0980681088027415,2.4813737869262695,0.0
fedprox_alpha0.3_c10_mu0.001_seed42,fedprox,27,0.3,10,42,0.001,0.8108908854127819,0.6285609618942603,0.09975155279503106,2.199237585067749,0.0
fedprox_alpha0.3_c10_mu0.001_seed42,fedprox,28,0.3,10,42,0.001,0.8230219852390949,0.7138233740421194,0.0984407796101949,2.4973089694976807,0.0
fedprox_alpha0.3_c10_mu0.001_seed42,fedprox,29,0.3,10,42,0.001,0.7771990595539545,0.5464589558899888,0.09824801884771901,2.2095224857330322,0.0
fedprox_alpha0.3_c10_mu0.001_seed42,fedprox,30,0.3,10,42,0.001,0.8258411781796227,0.650465257273231,0.09781966159777256,2.1222615242004395,0.0
